Comment,Designator,Footprint,LCSC
1u,"C1,C2","0603",C15849
4u7,"C3,C4","0603",C19666
100n,"C5,C14","0402",C1525
1u,"C6,C7,C8,C9,C10,C11,C12,C13","0402",C52923
Status0,"D4","LED_0805",C84256
Status1,"D5","LED_0805",C84256
100R,"FB1,FB2","0805",C1015
USB_C_Receptacle_USB2.0,J1,"TYPE-C-31_L8.94_W7.3",C165948
20k,"R11,R12","0402",C25765
5.1k,"R1,R2","0402",C25905
10k,"R3,R4,R5,R6,R7,R9,R10","0402",C25744
100k,R8,"0402",C25741
XC6206P332MR,U3,"SOT-23-3L",C5446
